filename,number_transits,code,totalTime,experiment,fishID,scorer
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_beatrice_july_2018_na_na_wallcam_ADAMS.csv,74,black,187.82900000000018,prescoto,beatrice,NA
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_beatrice_july_2018_na_na_wallcam_ADAMS.csv,74,black_thigmo,323.57699999999994,prescoto,beatrice,NA
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_beatrice_july_2018_na_na_wallcam_ADAMS.csv,74,white,46.552999999999656,prescoto,beatrice,NA
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_beatrice_july_2018_na_na_wallcam_ADAMS.csv,74,white_thigmo,42.041000000000224,prescoto,beatrice,NA
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_becca_july_13_2018_na_na_wallcam_ADAMS.csv,69,black,7.2800000000000225,prescoto,becca,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_becca_july_13_2018_na_na_wallcam_ADAMS.csv,69,black_thigmo,516.323,prescoto,becca,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_becca_july_13_2018_na_na_wallcam_ADAMS.csv,69,white,1.1229999999999905,prescoto,becca,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_becca_july_13_2018_na_na_wallcam_ADAMS.csv,69,white_thigmo,75.27400000000007,prescoto,becca,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bella_july_13_2018_na_na_doorcam_ADAMS.csv,18,black,12.047000000000097,prescoto,bella,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bella_july_13_2018_na_na_doorcam_ADAMS.csv,18,black_thigmo,588.4359999999999,prescoto,bella,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernadette_august_9_2018_na_na_doorcam_ADAMS.csv,56,black,194.6569999999999,prescoto,bernadette,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernadette_august_9_2018_na_na_doorcam_ADAMS.csv,56,black_thigmo,319.1980000000001,prescoto,bernadette,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernadette_august_9_2018_na_na_doorcam_ADAMS.csv,56,white,8.326999999999998,prescoto,bernadette,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernadette_august_9_2018_na_na_doorcam_ADAMS.csv,56,white_thigmo,77.81800000000007,prescoto,bernadette,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernice_august_13_2018_na_na_wallcam_ADAMS.csv,101,black,175.9099999999999,prescoto,bernice,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernice_august_13_2018_na_na_wallcam_ADAMS.csv,101,black_thigmo,285.48100000000017,prescoto,bernice,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernice_august_13_2018_na_na_wallcam_ADAMS.csv,101,white,21.851999999999997,prescoto,bernice,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_bernice_august_13_2018_na_na_wallcam_ADAMS.csv,101,white_thigmo,116.75699999999986,prescoto,bernice,Adams
FRI_Scototaxis_ADAMS/gridded_commongarden_prescoto_blossom_july_10_2018_na_na_doorcam_ADAMS.csv,57,black,130.13500000000008,prescoto,blossom,Adams
